run_id,agent,seed,temperature,tau,sigma,ppo_train_seed,episodes,recall,precision,detections_per_joule,false_alarms,coverage,time_to_first_detection,ece,signed_calibration_error,accuracy,pool_split
lawnmower__s0__T0.3__tau0.75__sig0.75,lawnmower,0,0.3,0.75,0.75,,20,0.35507762177664814,0.2523649187406109,0.06994047619047566,130.05,0.390625,20.35,,,,shift
lawnmower__s0__T0.3__tau0.75__sig1.5,lawnmower,0,0.3,0.75,1.5,,20,0.36298288749331403,0.34313274935260896,0.10244360902255564,122.3,0.390625,10.15,,,,shift
lawnmower__s0__T0.3__tau0.75__sig3,lawnmower,0,0.3,0.75,3.0,,20,0.36627095572270874,0.371539442559231,0.11317355889724226,118.4,0.390625,5.55,,,,shift
lawnmower__s1__T0.3__tau0.75__sig0.75,lawnmower,1,0.3,0.75,0.75,,20,0.33051659602173394,0.22253269604761158,0.06007205513784416,131.85,0.390625,17.45,,,,shift
lawnmower__s1__T0.3__tau0.75__sig1.5,lawnmower,1,0.3,0.75,1.5,,20,0.33754404430051016,0.30582249620250745,0.08811090225563843,124.55,0.390625,10.4,,,,shift
lawnmower__s1__T0.3__tau0.75__sig3,lawnmower,1,0.3,0.75,3.0,,20,0.35257316654219845,0.33718710507587596,0.09946741854636519,121.8,0.390625,9.25,,,,shift
lawnmower__s2__T0.3__tau0.75__sig0.75,lawnmower,2,0.3,0.75,0.75,,20,0.38155822865144323,0.2539090846628749,0.07166353383458593,130.9,0.390625,18.9,,,,shift
lawnmower__s2__T0.3__tau0.75__sig1.5,lawnmower,2,0.3,0.75,1.5,,20,0.3771372224255721,0.3434503664243933,0.10119047619047543,120.6,0.390625,9.1,,,,shift
lawnmower__s2__T0.3__tau0.75__sig3,lawnmower,2,0.3,0.75,3.0,,20,0.3969503245471143,0.3774593195989323,0.11458333333333248,118.4,0.390625,6.35,,,,shift
lawnmower__s3__T0.3__tau0.75__sig0.75,lawnmower,3,0.3,0.75,0.75,,20,0.3579574381023628,0.2413997520441089,0.06790413533834537,132.7,0.390625,14.2,,,,shift
lawnmower__s3__T0.3__tau0.75__sig1.5,lawnmower,3,0.3,0.75,1.5,,20,0.35533047881442614,0.3219672455389223,0.09500313283207949,125.15,0.390625,6.7,,,,shift
lawnmower__s3__T0.3__tau0.75__sig3,lawnmower,3,0.3,0.75,3.0,,20,0.37022271542408297,0.3541148653709167,0.10628132832080124,121.55,0.390625,3.05,,,,shift
lawnmower__s4__T0.3__tau0.75__sig0.75,lawnmower,4,0.3,0.75,0.75,,20,0.31202658591444216,0.21552118389519087,0.057330827067668746,131.15,0.390625,12.1,,,,shift
lawnmower__s4__T0.3__tau0.75__sig1.5,lawnmower,4,0.3,0.75,1.5,,20,0.33149225671761157,0.3082486343099749,0.08818922305764344,122.95,0.390625,9.75,,,,shift
lawnmower__s4__T0.3__tau0.75__sig3,lawnmower,4,0.3,0.75,3.0,,20,0.3495517972747025,0.3464911462120726,0.10260025062656564,120.0,0.390625,7.65,,,,shift
lawnmower__s0__T0.5__tau0.75__sig0.75,lawnmower,0,0.5,0.75,0.75,,20,0.35330897291326757,0.2596275389013195,0.06962719298245562,124.3,0.390625,20.35,,,,shift
lawnmower__s0__T0.5__tau0.75__sig1.5,lawnmower,0,0.5,0.75,1.5,,20,0.36155954647537125,0.3518666304861104,0.10205200501253057,116.9,0.390625,10.15,,,,shift
lawnmower__s0__T0.5__tau0.75__sig3,lawnmower,0,0.5,0.75,3.0,,20,0.3634708915737342,0.37993419777021203,0.11231203007518713,113.05,0.390625,5.55,,,,shift
lawnmower__s1__T0.5__tau0.75__sig0.75,lawnmower,1,0.5,0.75,0.75,,20,0.32965730100930163,0.23240693050185998,0.05991541353383414,124.1,0.390625,17.45,,,,shift
lawnmower__s1__T0.5__tau0.75__sig1.5,lawnmower,1,0.5,0.75,1.5,,20,0.33448124864549766,0.3163364187406198,0.08732769423558832,117.4,0.390625,10.4,,,,shift
lawnmower__s1__T0.5__tau0.75__sig3,lawnmower,1,0.5,0.75,3.0,,20,0.3484246022581853,0.3466931683930972,0.09829260651628999,115.05,0.390625,9.25,,,,shift
lawnmower__s2__T0.5__tau0.75__sig0.75,lawnmower,2,0.5,0.75,0.75,,20,0.37735034287136504,0.25986341865176255,0.07088032581453581,125.6,0.390625,19.7,,,,shift
lawnmower__s2__T0.5__tau0.75__sig1.5,lawnmower,2,0.5,0.75,1.5,,20,0.3744762264591559,0.351655802499998,0.1004072681704253,115.45,0.390625,9.1,,,,shift
lawnmower__s2__T0.5__tau0.75__sig3,lawnmower,2,0.5,0.75,3.0,,20,0.39227730013385154,0.38416748694030456,0.11317355889724226,113.7,0.390625,6.35,,,,shift
lawnmower__s3__T0.5__tau0.75__sig0.75,lawnmower,3,0.5,0.75,0.75,,20,0.3562884436154828,0.2503784565488453,0.06759085213032533,125.9,0.390625,14.2,,,,shift
lawnmower__s3__T0.5__tau0.75__sig1.5,lawnmower,3,0.5,0.75,1.5,,20,0.35389199283169126,0.3327573510105367,0.09461152882205444,118.65,0.390625,6.7,,,,shift
lawnmower__s3__T0.5__tau0.75__sig3,lawnmower,3,0.5,0.75,3.0,,20,0.36678165129165025,0.3636461740060808,0.10526315789473606,115.35,0.390625,3.05,,,,shift
lawnmower__s4__T0.5__tau0.75__sig0.75,lawnmower,4,0.5,0.75,0.75,,20,0.308667536201367,0.22363199792452662,0.05670426065162866,123.55,0.390625,12.1,,,,shift
lawnmower__s4__T0.5__tau0.75__sig1.5,lawnmower,4,0.5,0.75,1.5,,20,0.3294467641833395,0.3181651154276055,0.08764097744360835,116.45,0.390625,9.75,,,,shift
lawnmower__s4__T0.5__tau0.75__sig3,lawnmower,4,0.5,0.75,3.0,,20,0.3462933803059927,0.358283966332393,0.10166040100250551,112.65,0.390625,7.65,,,,shift
