run_id,agent,seed,temperature,tau,sigma,episodes,recall,precision,detections_per_joule,false_alarms,coverage,time_to_first_detection,ece,signed_calibration_error,accuracy,pool_split
lawnmower__s0__T0.3__tau0.55__sig1.5,lawnmower,0,0.3,0.55,1.5,20,0.36824142438731655,0.3315647333054132,0.10393170426065086,130.95,0.390625,10.15,,,,shift
lawnmower__s1__T0.3__tau0.55__sig1.5,lawnmower,1,0.3,0.55,1.5,20,0.3445561703109302,0.297095004915261,0.08983395989974871,132.55,0.390625,10.35,,,,shift
lawnmower__s2__T0.3__tau0.55__sig1.5,lawnmower,2,0.3,0.55,1.5,20,0.38383017455180357,0.33421198578636113,0.10307017543859573,128.25,0.390625,9.1,,,,shift
lawnmower__s3__T0.3__tau0.55__sig1.5,lawnmower,3,0.3,0.55,1.5,20,0.3584825354701145,0.30893332457543216,0.09586466165413463,134.4,0.390625,6.7,,,,shift
lawnmower__s4__T0.3__tau0.55__sig1.5,lawnmower,4,0.3,0.55,1.5,20,0.3383109764575337,0.29565424156401254,0.08999060150375873,133.3,0.390625,9.75,,,,shift
lawnmower__s0__T0.5__tau0.55__sig1.5,lawnmower,0,0.5,0.55,1.5,20,0.3676160442170003,0.33463714473343165,0.10377506265664083,128.75,0.390625,10.15,,,,shift
lawnmower__s1__T0.5__tau0.55__sig1.5,lawnmower,1,0.5,0.55,1.5,20,0.343934346808697,0.3002576140154224,0.08967731829573869,130.35,0.390625,10.4,,,,shift
lawnmower__s2__T0.5__tau0.55__sig1.5,lawnmower,2,0.5,0.55,1.5,20,0.3815594925386764,0.33616132081113037,0.10244360902255564,126.3,0.390625,9.1,,,,shift
lawnmower__s3__T0.5__tau0.55__sig1.5,lawnmower,3,0.5,0.55,1.5,20,0.3579027551083574,0.31202682144239835,0.0957080200501246,132.25,0.390625,6.7,,,,shift
lawnmower__s4__T0.5__tau0.55__sig1.5,lawnmower,4,0.5,0.55,1.5,20,0.33732741950100953,0.29811309258618535,0.0897556390977437,131.4,0.390625,9.75,,,,shift
lawnmower__s0__T1__tau0.55__sig1.5,lawnmower,0,1.0,0.55,1.5,20,0.36612939684495155,0.33758144582002747,0.10330513784461078,126.5,0.390625,10.15,,,,shift
lawnmower__s1__T1__tau0.55__sig1.5,lawnmower,1,1.0,0.55,1.5,20,0.34252192861542774,0.3029703857403555,0.08936403508771865,128.15,0.390625,10.4,,,,shift
lawnmower__s2__T1__tau0.55__sig1.5,lawnmower,2,1.0,0.55,1.5,20,0.37904379124608667,0.3380857454741123,0.10173872180451053,124.25,0.390625,9.1,,,,shift
lawnmower__s3__T1__tau0.55__sig1.5,lawnmower,3,1.0,0.55,1.5,20,0.3571073493360103,0.3163699893931031,0.09547305764410957,129.15,0.390625,6.7,,,,shift
lawnmower__s4__T1__tau0.55__sig1.5,lawnmower,4,1.0,0.55,1.5,20,0.33500256268373996,0.3003019630676633,0.08912907268170359,129.15,0.390625,9.75,,,,shift
lawnmower__s0__T2__tau0.55__sig1.5,lawnmower,0,2.0,0.55,1.5,20,0.36275561476604123,0.34785776953735936,0.10236528822055062,119.6,0.390625,10.15,,,,shift
lawnmower__s1__T2__tau0.55__sig1.5,lawnmower,1,2.0,0.55,1.5,20,0.33500762275897283,0.30933537168474345,0.08748433583959835,121.7,0.390625,10.4,,,,shift
lawnmower__s2__T2__tau0.55__sig1.5,lawnmower,2,2.0,0.55,1.5,20,0.37637786395240835,0.3466913178609251,0.1009555137844604,118.65,0.390625,9.1,,,,shift
lawnmower__s3__T2__tau0.55__sig1.5,lawnmower,3,2.0,0.55,1.5,20,0.35482577071649773,0.3253906754931061,0.09484649122806947,122.9,0.390625,6.7,,,,shift
lawnmower__s4__T2__tau0.55__sig1.5,lawnmower,4,2.0,0.55,1.5,20,0.33096028161857366,0.31132098329787056,0.08803258145363344,120.85,0.390625,9.75,,,,shift
lawnmower__s0__T3__tau0.55__sig1.5,lawnmower,0,3.0,0.55,1.5,20,0.36113410787888,0.3547562618874919,0.10189536340852054,115.2,0.390625,10.15,,,,shift
lawnmower__s1__T3__tau0.55__sig1.5,lawnmower,1,3.0,0.55,1.5,20,0.33415445125987675,0.3191682050265462,0.08724937343358333,115.75,0.390625,10.4,,,,shift
lawnmower__s2__T3__tau0.55__sig1.5,lawnmower,2,3.0,0.55,1.5,20,0.3744762264591559,0.3549361393697903,0.1004072681704253,113.75,0.390625,9.1,,,,shift
lawnmower__s3__T3__tau0.55__sig1.5,lawnmower,3,3.0,0.55,1.5,20,0.35389199283169126,0.33579466487633347,0.09461152882205444,117.1,0.390625,6.7,,,,shift
lawnmower__s4__T3__tau0.55__sig1.5,lawnmower,4,3.0,0.55,1.5,20,0.3294467641833395,0.3204206445934069,0.08764097744360835,115.25,0.390625,9.75,,,,shift
lawnmower__s0__T4__tau0.55__sig1.5,lawnmower,0,4.0,0.55,1.5,20,0.3572747087102971,0.3578716858341164,0.10079887218045039,112.5,0.390625,10.15,,,,shift
lawnmower__s1__T4__tau0.55__sig1.5,lawnmower,1,4.0,0.55,1.5,20,0.3312935407321742,0.32347018448640313,0.0865444862155382,112.55,0.390625,10.4,,,,shift
lawnmower__s2__T4__tau0.55__sig1.5,lawnmower,2,4.0,0.55,1.5,20,0.37071887502691164,0.357728794942619,0.09938909774436017,111.3,0.390625,9.1,,,,shift
lawnmower__s3__T4__tau0.55__sig1.5,lawnmower,3,4.0,0.55,1.5,20,0.35052996675643544,0.3410784335537994,0.0936716791979943,113.25,0.390625,6.7,,,,shift
lawnmower__s4__T4__tau0.55__sig1.5,lawnmower,4,4.0,0.55,1.5,20,0.3242647862623831,0.321902814279215,0.08623120300751816,112.5,0.390625,9.85,,,,shift
lawnmower__s0__T0.3__tau0.6__sig1.5,lawnmower,0,0.3,0.6,1.5,20,0.3676160442170003,0.33528035168232334,0.10377506265664083,128.4,0.390625,10.15,,,,shift
